id,priority,area,title,status,notes
01,P0,backend,Restrict upstream asset downloads to the configured Inbucket origin,completed,Prevent SSRF through imported attachment or raw message download URLs
02,P0,backend,Force safe download headers for raw and attachment responses,completed,Always download as attachment and add nosniff on binary delivery
03,P0,backend+frontend,Add request body size limits to Axum and the Next proxy,completed,Reject oversized JSON payloads before they consume excessive memory
04,P0,frontend,Add baseline browser security headers in Next.js,completed,Ship CSP plus standard anti-clickjacking and anti-MIME-sniffing headers
05,P0,frontend+backend,Move admin session handling to HttpOnly cookie or BFF-only auth,completed,Console JWT now stays in a Next-managed HttpOnly cookie and /api/mail injects auth server-side while redacting sessionToken from login/setup responses
06,P0,auth,Make console sessions revocable after password or recovery changes,completed,Console JWTs now carry a server-validated session version so password and recovery resets invalidate older sessions immediately
07,P0,auth,Add login and recovery rate limiting,completed,Protect /admin/login /admin/recover and /token with fixed-window IP and IP+identity throttling
08,P0,otp,Add OTP attempt caps and IP-scoped send throttling,completed,OTP codes now expire after repeated wrong attempts and send endpoints enforce IP-scoped fixed-window throttling
09,P1,ops,Gate or disable public /metrics by default,completed,Current metrics endpoint is public and touches the store on every scrape
10,P1,sse,Add SSE connection quotas and abuse protections,completed,/events now enforces a config-driven global SSE connection ceiling and releases slots on early disconnects
11,P1,storage,Reduce contention from the global AppStore mutex,completed,AppStore now internalizes backend-specific concurrency and background jobs share a lightweight scheduling gate instead of serializing every request on one outer mutex
12,P1,otp,Back OTP storage with shared persistence,completed,OTP codes now persist only as hashed records in the shared PostgreSQL otp_codes table so restarts and multi-instance deploys keep working
13,P1,admin,Remove side effects from GET /admin/access-key,completed,GET now returns existing access-key metadata only and no longer mints a new plaintext secret on read
14,P1,oauth,Harden Linux Do OAuth with callback allowlisting and stricter validation,completed,Redirect URIs must match the configured callback allowlist or current admin origin and Linux Do URLs now reject credentials plus insecure non-local http
15,P1,config,Enforce strong JWT secrets instead of relying on weak placeholders,completed,Config startup now rejects placeholder or too-short JWT secrets unless TMPMAIL_ALLOW_INSECURE_DEV_SECRETS is explicitly enabled for local development
16,P1,admin,Limit TMPMAIL_ADMIN_PASSWORD to explicit bootstrap or dev flows,completed,TMPMAIL_ADMIN_PASSWORD is now gated by TMPMAIL_ADMIN_PASSWORD_MODE so bootstrap is safe by default and force reset requires an explicit opt-in
17,P1,auth,Raise password policy and pin Argon2 parameters,completed,Mailbox and console passwords now require 10 characters and password hashing uses pinned Argon2id parameters instead of implicit defaults
18,P2,ops,Run containers as non-root with tighter runtime permissions,completed,API and frontend runtime images now default to non-root users and compose adds no-new-privileges read-only rootfs tmpfs /tmp and dropped Linux capabilities
19,P2,dependencies,Patch vulnerable and floating frontend dependencies,completed,Frontend latest dependencies are pinned to verified versions and a lodash override clears the prior npm audit vulnerability chain
20,P2,ops,Improve deployment defaults for PostgreSQL credentials and exposure,completed,PostgreSQL compose defaults now bind to localhost and require an explicit strong password instead of shipping weak public-facing defaults
